   ,mean_fit_time       ,std_fit_time         ,mean_score_time     ,std_score_time        ,param_max_depth ,param_min_samples_leaf ,param_min_samples_split ,param_n_estimators ,params                                                                                   ,split0_test_score  ,split1_test_score  ,split2_test_score  ,split3_test_score  ,mean_test_score    ,std_test_score        ,rank_test_score
 9 , 2.726332128047943  ,0.11407217733679813  ,0.10710591077804565 ,0.004681213401521614  ,              5 ,                     4 ,                      2 ,               100 ,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}"   ,0.7915401497159006 ,0.7969816312419205 ,0.7951176983435048 ,0.8029341911433124 ,0.7966434176111595 ,0.004124905531868023  ,             37
 4 , 4.260871112346649  ,0.14251798700394233  ,0.16735929250717163 ,0.014431383862717232  ,              5 ,                     2 ,                      5 ,               150 ,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}"   ,0.7916904668851276 ,0.7950876349096594 ,0.7938850975558428 ,0.8024832396356312 ,0.7957866097465653 ,0.0040536265444207995 ,             38
 5 , 5.800874948501587  ,0.1773096867750291   ,0.20154023170471191 ,0.008499361969837246  ,              5 ,                     2 ,                      5 ,               200 ,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}"   ,0.7954784595496498 ,0.7957490304542585 ,0.793464209482007  ,0.7983946126326549 ,0.7957715780296426 ,0.0017529038036702617 ,             39
17 , 7.7962265610694885 ,0.6804983716989816   ,0.27464061975479126 ,0.01548654604690024   ,              5 ,                     4 ,                     10 ,               200 ,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}"  ,0.7918407840543547 ,0.7962601088296305 ,0.7947268737035145 ,0.7979737245588191 ,0.7952003727865797 ,0.0022541937785426464 ,             40
 2 , 5.896496474742889  ,0.25791764912653425  ,0.2330789566040039  ,0.014194240818956136  ,              5 ,                     2 ,                      2 ,               200 ,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"   ,0.793464209482007  ,0.7952980789465772 ,0.7941256050266061 ,0.7974325827496017 ,0.7950801190511979 ,0.0015086295707733039 ,             41
15 , 3.605958938598633  ,0.0793485175997834   ,0.14580613374710083 ,0.0159139283696001    ,              5 ,                     4 ,                     10 ,               100 ,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"  ,0.7927727505035626 ,0.792953131106635  ,0.79659080660193   ,0.7975528364849833 ,0.7949673811742777 ,0.002132703472042368  ,             42
10 , 4.058477580547333  ,0.15501553654347405  ,0.1613178849220276  ,0.00617218720357884   ,              5 ,                     4 ,                      2 ,               150 ,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 150}"   ,0.7942759221958332 ,0.7925021795989537 ,0.7946667468358236 ,0.7976430267865195 ,0.7947719688542826 ,0.001847434090461308  ,             43
 0 , 3.0245059728622437 ,0.1982393198873394   ,0.11241978406906128 ,0.009549824752428212  ,              5 ,                     2 ,                      2 ,               100 ,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}"   ,0.7910290713405285 ,0.7935543997835433 ,0.7967711872050025 ,0.7971319484111475 ,0.7946216516850554 ,0.0024983871176073647 ,             44
 6 , 2.7284587025642395 ,0.07056098721997187  ,0.10391116142272949 ,0.002439852361828818  ,              5 ,                     2 ,                     10 ,               100 ,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}"  ,0.7910891982082193 ,0.7956889035865676 ,0.7937047169527703 ,0.7975828999188287 ,0.7945164296665965 ,0.002407422267691867  ,             45
 7 , 4.366483926773071  ,0.14229165295907412  ,0.16479599475860596 ,0.0081523412541249    ,              5 ,                     2 ,                     10 ,               150 ,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 150}"  ,0.7909388810389922 ,0.7958993476234856 ,0.7933740191804708 ,0.797823407389592  ,0.7945089138081352 ,0.002595779925429172  ,             46
11 , 6.025302588939667  ,0.7756105870193629   ,0.23582863807678223 ,0.030040587195407798  ,              5 ,                     4 ,                      2 ,               200 ,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}"   ,0.7911493250759102 ,0.7915100862820551 ,0.7961097916604034 ,0.7988756275741815 ,0.7944112076481376 ,0.003235452673835776  ,             47
16 , 5.578875482082367  ,0.45159763977985523  ,0.19668084383010864 ,0.004299104336845909  ,              5 ,                     4 ,                     10 ,               150 ,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 150}"  ,0.7925322430327992 ,0.795929411057331  ,0.7921714818266542 ,0.7966809969034663 ,0.7943285332050627 ,0.0019985259807076537 ,             48
 3 , 2.838533878326416  ,0.19659572842555137  ,0.1156880259513855  ,0.013741137387271129  ,              5 ,                     2 ,                      5 ,               100 ,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}"   ,0.7926224333343355 ,0.7932838288789346 ,0.7944563027989057 ,0.7961699185280943 ,0.7941331208850675 ,0.0013468913259511294 ,             49
 8 , 5.664397954940796  ,0.3491705228992654   ,0.2102251648902893  ,0.019954128416711316  ,              5 ,                     2 ,                     10 ,               200 ,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}"  ,0.792442052731263  ,0.7928328773712533 ,0.7929831945404804 ,0.79731232901422   ,0.7938926134143043 ,0.001984229337079045  ,             50
12 , 3.8218461871147156 ,0.23089226894072054  ,0.1292453408241272  ,0.004809510788726464  ,              5 ,                     4 ,                      5 ,               100 ,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}"   ,0.7928028139374079 ,0.7919911012235817 ,0.7941256050266061 ,0.7966509334696209 ,0.7938926134143042 ,0.0017653630030587842 ,             51
14 , 7.225778102874756  ,0.25576251212538187  ,0.28293097019195557 ,0.0533611275761145    ,              5 ,                     4 ,                      5 ,               200 ,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}"   ,0.790848690737456  ,0.7925623064666446 ,0.7928930042389442 ,0.7986351201034182 ,0.7937347803866158 ,0.002933689016360622  ,             52
13 , 5.3713409304618835 ,0.09577298153007284  ,0.18485254049301147 ,0.0049621656224698146 ,              5 ,                     4 ,                      5 ,               150 ,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 150}"   ,0.7906081832666927 ,0.7917806571866639 ,0.7941556684604516 ,0.7978835342572829 ,0.7936070107927727 ,0.0027802073755625973 ,             53
 1 , 3.887210428714752  ,0.19787453795915927  ,0.15035104751586914 ,0.010276214512325285  ,              5 ,                     2 ,                      2 ,               150 ,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}"   ,0.7907284370020744 ,0.7921714818266542 ,0.7931034482758621 ,0.7972221387126838 ,0.7933063764543186 ,0.0024139247888546257 ,             54
